2158	1482	3.3395
1539	1356	3.35284
1356	1356	3.32968
2158	1356	3.47875
1500	1500	3.48369
1356	1356	3.40494
1539	1487	3.53296
1539	1487	3.41409
1539	1482	3.48234
1356	1356	3.44751
1356	1356	3.1972
2158	1482	3.15475
1500	1356	3.28058
1356	1356	3.46599
1539	1539	3.21783
1356	1356	3.27796
1356	1356	3.4599
1356	1356	3.37925
1356	1356	3.35994
1356	1356	3.53359
1539	1482	3.16803
1356	1356	3.26426
2158	1356	3.27148
1500	1487	3.25687
1356	1356	3.11257
1500	1390	3.39799
1539	1467	3.29984
1539	1487	3.178
1539	1356	3.1656
1356	1356	3.39766
