2279	2105	3.31621
2279	2279	3.26131
2338	2279	3.3427
2279	2241	3.37888
2338	2279	3.18779
2279	2279	3.13202
2279	2279	3.30092
2338	2220	3.19569
2338	2279	3.27478
2338	2220	3.35973
2338	2279	3.41694
2338	2220	3.29063
2279	2258	3.1775
2279	2220	3.41982
2338	2220	3.36154
2338	2220	3.43278
2279	2241	3.38155
2279	2105	4.01744
2279	2220	3.60841
2338	2279	3.40293
2279	2279	3.41192
2338	2315	3.32049
2279	2220	3.54643
2279	2220	3.74654
2279	2279	3.93619
2338	2279	3.64925
2279	2279	3.5924
2279	2241	3.51661
2279	2279	3.57819
2279	2220	3.47342
