3263	2357	3.55384
3281	3238	3.33896
3263	2828	3.27114
3263	2620	3.15787
3502	2688	3.1879
3263	2695	3.39405
3271	2357	3.1762
3263	2853	3.22639
3271	2550	3.41968
3271	2695	3.16304
3271	2620	3.21289
3263	2620	3.15821
3461	2662	3.25391
3271	2620	3.16007
3263	2620	3.03517
3271	2799	3.08097
3502	2734	3.03347
3263	2620	3.08343
3271	2620	3.1572
3271	2853	3.17483
3271	2620	3.01974
3271	2658	3.06645
3438	2831	3.13997
3271	2695	3.02732
3271	2695	3.12873
3263	2620	2.97964
3438	2838	3.10803
3263	2620	3.01872
3263	2695	3.05111
3263	2695	3.1498
