2050	1651	3.07522
2099	2099	3.21096
2148	1771	3.38786
2025	2025	3.36285
2050	1771	3.33613
2071	1771	3.37112
2025	2025	3.43454
2150	1771	3.34592
2025	1762	3.49922
2050	2050	3.31045
2025	2025	3.46139
2050	1771	3.47813
2025	2025	3.54658
2148	1771	3.35541
2025	2025	3.35233
2025	2025	3.16822
2025	2025	3.41925
2025	2025	3.41847
2148	2071	3.22352
2150	1771	3.35997
2150	1651	3.34445
2025	1864	3.33129
2025	1762	3.44704
2050	1771	3.34924
2050	2050	3.3236
2025	1856	3.17232
2148	2071	3.50254
2025	1896	3.14847
2150	2071	3.26087
2025	2025	3.44707
