2498	1624	3.10686
2498	1589	3.06626
2498	1589	3.20499
2755	1557	3.17132
2498	1624	3.08129
2755	1530	3.17913
2755	1557	2.97454
2498	1589	3.13234
2755	1557	3.19457
2498	1557	3.24214
2498	1589	3.19088
2498	1589	3.15051
2498	2388	2.99784
2498	1557	3.08067
2498	1624	3.11668
2498	1589	3.11377
2498	1903	3.15308
2498	1589	3.09375
2498	2032	3.07558
2498	1589	3.11721
2498	1624	3.06965
2498	1589	3.1634
2498	1557	3.23539
2755	1530	3.14726
2755	1731	3.23217
2755	1530	3.05843
2498	1530	3.09063
2498	1612	3.09287
2498	1589	3.15155
2498	1530	3.11097
