1187	1187	3.37256
1338	1187	3.41805
1187	1187	3.44768
1056	1056	3.46643
1326	1187	3.97552
1338	1187	3.56464
1187	1187	3.64223
1088	1088	3.90265
1234	825	3.5899
1056	979	3.36822
1056	924	3.34958
1245	1056	3.17847
1088	1056	3.87058
1269	1187	4.23677
1088	1056	3.86412
1358	818	3.26391
1187	1187	3.09723
1088	1056	3.14061
1234	1056	3.09574
1056	1056	3.3402
1447	899	3.29215
1187	1187	3.43553
1290	1187	3.26074
1234	794	3.23648
1187	1187	3.27969
1088	914	3.26999
1088	795	3.44045
1234	825	3.27218
1187	1187	3.21916
1088	979	3.31668
